"","tDd","reD","NpDd"
"1",1e-04,"10",0.00224190348685395
"2",0.0001091850416099,"10",0.00234669167844093
"3",0.000119213733113557,"10",0.00245655595175709
"4",0.000130163564104752,"10",0.00257175740140959
"5",0.000142119141628703,"10",0.00269257178123515
"6",0.000155172843922932,"10",0.00281929041894779
"7",0.000169425534204519,"10",0.00295222119288765
"8",0.000184987340019,"10",0.00309168957694361
"9",0.000201978504172792,"10",0.00323803975753924
"10",0.000220530313824117,"10",0.00339163582886238
"11",0.000240786114911306,"10",0.00355286307175478
"12",0.000262902419756772,"10",0.00372212932265607
"13",0.000287050116404866,"10",0.00389986643879611
"14",0.00031341578903792,"10",0.00408653186774216
"15",0.00034220315967305,"10",0.00428261032895331
"16",0.000373634662279413,"10",0.00448861561437005
"17",0.000407953161478787,"10",0.00470509251911589
"18",0.000445423829109517,"10",0.00493261891085541
"19",0.000486336193153637,"10",0.00517180794804707
"20",0.000531006374858803,"10",0.00542331045937727
"21",0.000579779531340807,"10",0.00568781749605231
"22",0.000633032522540144,"10",0.00596606306879118
"23",0.000691176823139658,"10",0.00625882708720332
"24",0.000754661701943022,"10",0.00656693851182183
"25",0.000823977693280469,"10",0.00689127873932516
"26",0.000899660387264576,"10",0.0072327852373969
"27",0.000982294568182617,"10",0.00759245544597831
"28",0.00107251873300198,"10",0.00797135096992193
"29",0.00117103002490219,"10",0.00837060208047421
"30",0.00127858961995388,"10",0.00879141255345578
"31",0.00139602860856651,"10",0.00923506486644339
"32",0.00152425441714945,"10",0.00970292578516516
"33",0.00166425781960537,"10",0.0101964523680459
"34",0.00181712059283214,"10",0.0107171984208887
"35",0.00198402387538584,"10",0.0112668214371593
"36",0.00216625729389038,"10",0.0118470900607494
"37",0.00236522892771171,"10",0.0124598921120017
"38",0.00258247618889143,"10",0.0131072432214334
"39",0.00281967770140687,"10",0.0137912961158038
"40",0.00307866627154617,"10",0.0145143506114285
"41",0.00336144304961765,"10",0.0152788643653646
"42",0.00367019299241813,"10",0.0160874644464381
"43",0.00400730174593538,"10",0.0169429597896251
"44",0.0043753740787338,"10",0.0178483546025246
"45",0.00477725400845429,"10",0.018806862798021
"46",0.00521604677694144,"10",0.0198219235342911
"47",0.00569514284379537,"10",0.0208972179497254
"48",0.00621824408374123,"10",0.0220366871850293
"49",0.00678939239023802,"10",0.0232445517946585
"50",0.00741300090634078,"10",0.024525332657622
"51",0.00809388812413047,"10",0.0258838735021196
"52",0.00883731511619062,"10",0.027325365176771
"53",0.00964902618681073,"10",0.0288553717988454
"54",0.0105352932570195,"10",0.0304798589339993
