"","tDd","reD","qDd"
"1",1e-04,"10",11.6454981511721
"2",0.000108423253931343,"10",11.2179838634613
"3",0.000117556019930604,"10",10.8073486297204
"4",0.000127458062000939,"10",10.4129215232235
"5",0.000138194178219246,"10",10.0340581614383
"6",0.000149834624768985,"10",9.67013965492368
"7",0.000162455575690352,"10",9.32057159649932
"8",0.000176139621356375,"10",8.9847830953544
"9",0.000190976308936928,"10",8.66222584244009
"10",0.00020706272838739,"10",8.35237321684067
"11",0.000224504147796627,"10",8.05471942899346
"12",0.000243414702251934,"10",7.76877869670427
"13",0.000263918140728836,"10",7.49408445167024
"14",0.000286148635893304,"10",7.23018857900642
"15",0.00031025166211567,"10",6.97666069158173
"16",0.000336384947441884,"10",6.73308742577232
"17",0.000364719505751728,"10",6.49907176931072
"18",0.000395440755858334,"10",6.274232416085
"19",0.000428749734872302,"10",6.05820314583222
"20",0.000464864413770554,"10",5.85063223011059
"21",0.000504021123778896,"10",5.6511818567611
"22",0.000546476102902399,"10",5.45952758531961
"23",0.000592507172723974,"10",5.27535781637271
"24",0.000642415556443933,"10",5.09837328926996
"25",0.000696527850057654,"10",4.92828659372838
"26",0.000755198159570533,"10",4.76482170385049
"27",0.000818810418235985,"10",4.60771353021335
"28",0.000887780898980291,"10",4.45670749135925
"29",0.000962560938455358,"10",4.31155909933668
"30",0.00104363989054537,"10",4.17203356363902
"31",0.00113154832865479,"10",4.03790541227396
"32",0.00122686151773325,"10",3.90895812338123
"33",0.00133020317875784,"10",3.78498377637719
"34",0.00144224957030741,"10",3.66578271515022
"35",0.0015637339139381,"10",3.55116322360204
"36",0.00169545119231963,"10",3.4409412152349
"37",0.00183826335153069,"10",3.3349399349164
"38",0.00199310494155693,"10",3.23298967119925
"39",0.00216098923190241,"10",3.13492748401745
"40",0.00234301484233452,"10",3.04059693652172
"41",0.00254037293215341,"10",2.94984784301349
"42",0.00275435499503179,"10",2.86253602489002
"43",0.00298636131043393,"10",2.77852307635066
"44",0.00323791010691916,"10",2.69767613833823
"45",0.00351064749729357,"10",2.61986768200476
"46",0.00380635825062493,"10",2.54497530260338
"47",0.00412697747161168,"10",2.47288151693676
"48",0.00447460326373484,"10",2.4034735730514
"49",0.00485151045905938,"10",2.33664326423424
"50",0.0052601655045316,"10",2.27228675235038
"51",0.00570324260218719,"10",2.21030439660081
"52",0.00618364120888993,"10",2.15060058940738
"53",0.00670450501011788,"10",2.09308359840908
"54",0.0072692424919597,"10",2.03766541443404
"55",0.00788154924594253,"10",1.98426160538317
"56",0.00854543215265209,"10",1.93279117577316
"57",0.00926523560240058,"10",1.88317643098691
"58",0.0100456699245279,"10",1.8353428481134
"59",0.0108918422113755,"10",1.78921894957211
"60",0.0118092897386408,"10",1.74473618500142
"61",0.0128040162008145,"10",1.70182881544643
"62",0.0138825309988193,"10",1.66043380453599
"63",0.0150518918369473,"10",1.62049071451164
"64",0.0163197509078444,"10",1.58194160726492
"65",0.0176944049677747,"10",1.54473094805246
"66",0.0191848496298505,"10",1.50880551243678
"67",0.0208008382305191,"10",1.4741142909856
"68",0.0225529456545235,"10",1.44060838945768
"69",0.0244526375360017,"10",1.40824092107983
"70",0.02651234528857,"10",1.37696688988245
"71",0.0287455474553806,"10",1.34674306738853
"72",0.0311668579115019,"10",1.31752787141558
"73",0.0337921214958085,"10",1.2892812627249
"74",0.0366385176981883,"10",1.2619646787299
"75",0.0397246730805866,"10",1.23554102504703
"76",0.0430707831675601,"10",1.20997473967753
"77",0.0466987446039817,"10",1.18523192733945
"78",0.0506322984447243,"10",1.16128053616398
"79",0.0548971855139987,"10",1.13809051894955
"80",0.0595213148510031,"10",1.11563388811336
"81",0.064534946344177,"10",1.09388455210292
"82",0.0699708887492028,"10",1.07281781341114
"83",0.0758647143865655,"10",1.05240943313889
"84",0.0822549919236337,"10",1.03263420333287
"85",0.0891835387645668,"10",1.01346404938461
"86",0.0966956946996637,"10",0.994865759745314
"87",0.104840618604892,"10",0.976798531349891
"88",0.113671610133173,"10",0.959211582358917
"89",0.123246458502536,"10",0.94204212592813
"90",0.133627820663591,"10",0.925213990847847
"91",0.144883631321005,"10",0.908637128678907
"92",0.157087547492123,"10",0.89220815893805
"93",0.170319430511904,"10",0.87581199104741
"94",0.184665868638338,"10",0.859324440699427
"95",0.200220743678265,"10",0.842615646537323
"96",0.217085845341508,"10",0.825554016335246
"97",0.235371537343625,"10",0.808010387142455
"98",0.255197479616184,"10",0.789862090386061
"99",0.276693411350641,"10",0.770996656979205
"100",0.3,"10",0.751314971584085
"101",1e-04,"20",7.49206266358425
"102",0.000108423253931343,"20",7.23968184871884
"103",0.000117556019930604,"20",6.99714492244716
"104",0.000127458062000939,"20",6.7640580848992
