"","TDd","b","NpDd"
"1",0.6,"0",0.451188363905974
"2",0.615625101545412,"0",0.45969695454362
"3",0.631657109421332,"0",0.468290031036388
"4",0.648106620215648,"0",0.476964855990349
"5",0.664984506470853,"0",0.485718504319751
"6",0.682301923870408,"0",0.494547860167001
"7",0.70007031861225,"0",0.503449614170311
"8",0.718301434974326,"0",0.512420261114057
"9",0.737007323077141,"0",0.5214560979979
"10",0.756200346848462,"0",0.53055322256174
"11",0.775893192195434,"0",0.539707532304368
"12",0.796098875389514,"0",0.548914724034377
"13",0.816830751669763,"0",0.558170293992365
"14",0.838102524070188,"0",0.56746953858378
"15",0.85992825247696,"0",0.576807555761817
"16",0.882322362921495,"0",0.586179247099599
"17",0.905299657115556,"0",0.595579320590411
"18",0.928875322234651,"0",0.605002294214024
"19",0.953064940956225,"0",0.614442500306025
"20",0.977884501759246,"0",0.623894090765682
"21",1.00335040949203,"0",0.633351043135991
"22",1.02947949621527,"0",0.642807167587401
"23",1.05628903232741,"0",0.652256114833993
"24",1.08379673797978,"0",0.66169138500784
"25",1.11202079478898,"0",0.671106337513652
"26",1.1409798578543,"0",0.680494201881765
"27",1.17069306808803,"0",0.689848089632953
"28",1.20118006486701,"0",0.699161007163425
"29",1.23246099901346,"0",0.708425869652759
"30",1.26455654611404,"0",0.717635515991361
"31",1.29748792018562,"0",0.72678272471735
"32",1.33127688769703,"0",0.73586023094557
"33",1.36594578195591,"0",0.744860744263704
"34",1.40151751787022,"0",0.753776967562288
"35",1.43801560709421,"0",0.762601616756781
"36",1.47546417356877,"0",0.771327441350781
"37",1.51388796946649,"0",0.77994724578007
"38",1.55331239155197,"0",0.788453911467471
"39",1.59376349796822,"0",0.796840419508536
"40",1.63526802546009,"0",0.805099873897997
"41",1.67785340704639,"0",0.813225525196762
"42",1.72154779015208,"0",0.821210794529136
"43",1.76638005521276,"0",0.829049297789966
"44",1.81237983476358,"0",0.836734869931788
"45",1.85957753302531,"0",0.844261589192755
"46",1.90800434600045,"0",0.851623801117463
"47",1.95769228209269,"0",0.858816142214789
"48",2.00867418326331,"0",0.865833563089753
"49",2.06098374673853,"0",0.872671350880318
"50",2.11465554728226,"0",0.879325150825154
"51",2.16972506004868,"0",0.885790986784877
"52",2.22622868403016,"0",0.892065280537257
"53",2.28420376611562,"0",0.898144869666565
"54",2.34368862577557,"0",0.904027023868777
"55",2.40472258038986,"0",0.909709459497803
