"","TDd","b","qDd"
"1",0.3,"0",0.740818220681718
"2",0.3088865779842,"0",0.734264047011794
"3",0.318036393529297,"0",0.727576308863044
"4",0.327457244239003,"0",0.720754107007098
"5",0.337157158697073,"0",0.713796651735516
"6",0.347144403309382,"0",0.706703270598169
"7",0.357427489348673,"0",0.699473416376937
"8",0.368015180207985,"0",0.692106675285707
"9",0.378916498868944,"0",0.684602775385738
"10",0.390140735591273,"0",0.676961595203358
"11",0.40169745583009,"0",0.669183172534724
"12",0.413596508387719,"0",0.661267713419985
"13",0.425848033806986,"0",0.653215601266609
"14",0.438462473013132,"0",0.645027406098962
"15",0.45145057621172,"0",0.636703893908301
"16",0.464823412050111,"0",0.62824603607436
"17",0.478592377050328,"0",0.619655018826501
"18",0.492769205321333,"0",0.610932252709073
"19",0.507365978559,"0",0.602079382012166
"20",0.522395136342314,"0",0.593098294125352
"21",0.537869486734556,"0",0.583991128768282
"22",0.553802217198517,"0",0.574760287048214
"23",0.570206905835041,"0",0.56540844029065
"24",0.587097532954482,"0",0.55593853858534
"25",0.60448849299092,"0",0.546353818985895
"26",0.622394606769304,"0",0.536657813297334
"27",0.640831134135973,"0",0.526854355381913
"28",0.659813786963315,"0",0.516947587909752
"29",0.679358742539647,"0",0.506941968477028
"30",0.699482657355735,"0",0.49684227501093
"31",0.720202681299692,"0",0.486653610377251
"32",0.741536472272356,"0",0.476381406103391
"33",0.763502211235612,"0",0.466031425126873
"34",0.786118617706459,"0",0.455609763477141
"35",0.809404965710059,"0",0.445122850796639
"36",0.833381100205329,"0",0.434577449605881
"37",0.858067453997105,"0",0.423980653216706
"38",0.883485065149268,"0",0.413339882197997
"39",0.909655594913684,"0",0.402662879299178
"40",0.93660134619023,"0",0.391957702738692
"41",0.96434528253365,"0",0.381232717767585
"42",0.992911047723418,"0",0.37049658642234
"43",1.02232298591331,"0",0.35975825538638
"44",1.05260616237784,"0",0.349026941886121
"45",1.08378638487324,"0",0.338312117555426
"46",1.1158902256312,"0",0.327623490211603
"47",1.14894504400413,"0",0.316970983497019
"48",1.18297900978114,"0",0.306364714352849
"49",1.21802112719478,"0",0.295814968305559
"50",1.25410125963884,"0",0.285332172562505
"51",1.29125015511839,"0",0.274926866930395
"52",1.32949947245362,"0",0.26460967258948
"53",1.36888180825999,"0",0.25439125877695
"54",1.40943072472751,"0",0.244282307455276
"55",1.4511807782229,"0",0.234293476064846
"56",1.49416754873907,"0",0.224435358485221
"57",1.53842767021683,"0",0.214718444355367
"58",1.58399886176494,"0",0.205153076930269
"59",1.6309199598048,"0",0.195749409678872
"60",1.67923095116745,"0",0.186517361856382
"61",1.72897300717088,"0",0.177466573311843
"62",1.78018851870689,"0",0.168606358819594
"63",1.8329211323671,"0",0.15994566224993
"64",1.88721578763933,"0",0.151493010919814
"65",1.94311875520556,"0",0.143256470488161
"66",2.00067767637455,"0",0.135243600781546
"67",2.05994160368238,"0",0.12746141295465
"68",2.12096104269579,"0",0.11991632840465
"69",2.18378799505367,"0",0.112614139869636
"70",2.24847600278368,"0",0.105559975147308
"71",2.31508019393148,"0",0.0987582638711166
"72",2.38365732954164,"0",0.0922127077762125
"73",2.45426585203024,"0",0.0859262548764226
"74",2.52696593499033,"0",0.0799010779557159
"75",2.60181953447269,"0",0.0741385577528063
"76",2.67889044178571,"0",0.0686392711854972
"77",2.75824433785923,"0",0.063402984921959
"78",2.83994884921877,"0",0.0584286545593926
"79",2.92407360561784,"0",0.0537144296166461
"80",3.01069029937738,"0",0.0492576644866703
"81",3.09987274648302,"0",0.0450549354277662
"82",3.19169694949208,"0",0.0411020636001058
"83",3.28624116230406,"0",0.0373941440769289
"84",3.38358595684973,"0",0.0339255806792289
"85",3.48381429175569,"0",0.0306901263999348
