WELL,MD,POROSITY,PERMEABILITY,PTS,RT
WELL_1,4093.25,0.202,1399.96,28.45066392,Mega
WELL_1,4093.75,0.211,357.048,12.26939652,Mega
WELL_1,4094.25,0.209,474.919,14.63005305,Mega
WELL_1,4094.75,0.179,1.783,0.626919778,Meso
WELL_1,4095.25,0.205,6.535,1.196765531,Meso
WELL_1,4095.75,0.215,9.344,1.417250029,Meso
WELL_1,4096.25,0.236,28.869,2.538270444,Macro
WELL_1,4096.75,0.229,21.275,2.177155504,Macro
WELL_1,4097.25,0.23,24.775,2.372177507,Macro
WELL_1,4097.75,0.227,20.445,2.142983775,Macro
WELL_1,4098.25,0.227,15.559,1.825067316,Meso
WELL_1,4098.75,0.174,6.077,1.321218726,Meso
WELL_1,4099.25,0.207,9.935,1.518225669,Meso
WELL_1,4099.75,0.156,2.403,0.841440796,Meso
WELL_1,4100.25,0.094,0.105,0.206860153,Micro
WELL_1,4100.850098,0.212,7.15,1.225681889,Meso
WELL_1,4101.25,0.232,15.238,1.769212613,Meso
WELL_1,4101.75,0.231,20.322,2.103407995,Macro
WELL_1,4102.450195,0.207,4.868,0.998076331,Meso
WELL_1,4102.950195,0.228,15.676,1.826175963,Meso
WELL_1,4103.450195,0.145,1089.3571,32.6914485,Mega
WELL_1,4104.299805,0.144,0.296,0.26320512,Micro
WELL_1,4104.649902,0.149,12.017,2.255730169,Macro
WELL_1,4107.049805,0.174,404.985,15.60772286,Mega
WELL_1,4107.299805,0.202,2202.0039,37.13243676,Mega
WELL_2,3839.149902,0.104,10.632,2.863734793,Macro
WELL_2,3839.399902,0.124,0.248,0.269911415,Micro
WELL_2,3839.600098,0.157,306.81,14.48845154,Mega
WELL_2,3839.850098,0.159,150.954,9.443946636,Macro
WELL_2,3840.100098,0.165,707.324,22.68138069,Mega
WELL_2,3840.350098,0.162,254.7,12.63932983,Mega
WELL_2,3840.600098,0.192,7.938,1.419900336,Meso
WELL_2,3840.800049,0.099,0.057,0.138110153,Micro
WELL_2,3841,0.122,2.36,1.02957352,Meso
WELL_2,3841.350098,0.181,350.848,13.86422783,Mega
WELL_2,3841.600098,0.096,0.025,0.087358744,Nano
WELL_2,3841.800049,0.197,141.943,7.568750702,Macro
WELL_2,3842.050049,0.2,87.775,5.631345022,Macro
WELL_2,3842.350098,0.216,177.067,7.960436548,Macro
WELL_2,3842.600098,0.209,20.308,2.292460682,Macro
WELL_2,3842.800049,0.191,110.692,6.716260252,Macro
WELL_2,3843.050049,0.21,30.604,2.905628636,Macro
WELL_2,3843.350098,0.17,23.022,2.950069483,Macro
WELL_2,3843.600098,0.112,0.24,0.289094506,Micro
WELL_2,3843.850098,0.187,5.731,1.199411841,Meso
WELL_2,3844.100098,0.232,89.919,5.024386551,Macro
WELL_2,3844.350098,0.244,69.456,4.132573,Macro
WELL_2,3844.600098,0.25,66.622,3.948817114,Macro
WELL_2,3844.800049,0.237,63.391,4.016147545,Macro
WELL_2,3845.050049,0.238,60.775,3.903622297,Macro
WELL_2,3845.350098,0.237,42.038,3.154415892,Macro
WELL_2,3845.600098,0.23,35.718,2.941472441,Macro
WELL_2,3845.850098,0.224,33.282,2.886987137,Macro
WELL_2,3846.100098,0.234,50.192,3.539733663,Macro
WELL_2,3846.350098,0.228,46.217,3.448638895,Macro
WELL_2,3846.600098,0.237,70.725,4.283180013,Macro
WELL_2,3846.850098,0.236,91.815,5.011840588,Macro
WELL_2,3847.100098,0.224,67.849,4.388673391,Macro
WELL_2,3847.350098,0.215,61.911,4.30856499,Macro
WELL_2,3847.600098,0.175,13.151,2.069964452,Macro
WELL_2,3848.050049,0.085,0.26,0.384579718,Micro
WELL_2,3848.300049,0.144,7.126,1.708630474,Meso
WELL_2,3848.550049,0.162,6.25,1.428750771,Meso
WELL_2,3848.800049,0.228,71.725,4.465587255,Macro
WELL_2,3849.050049,0.232,72.911,4.441612813,Macro
WELL_2,3849.300049,0.229,55.573,3.828971046,Macro
WELL_2,3849.550049,0.237,81.609,4.659286393,Macro
WELL_2,3849.800049,0.234,70.655,4.328062512,Macro
WELL_2,3850.050049,0.214,26.569,2.630601859,Macro
WELL_2,3850.300049,0.209,16.698,2.043244363,Macro
WELL_2,3850.550049,0.228,28.421,2.591100348,Macro
WELL_2,3850.800049,0.226,24.902,2.415661263,Macro
WELL_2,3851,0.221,26.692,2.565412295,Macro
WELL_2,3851.199951,0.22,24.721,2.4618956,Macro
WELL_2,3851.550049,0.224,20.125,2.147743508,Macro
WELL_2,3851.800049,0.227,18.484,2.019620098,Macro
WELL_2,3852.050049,0.214,51.912,3.900317336,Macro
WELL_2,3852.300049,0.21,59.867,4.31110675,Macro
WELL_2,3852.550049,0.208,64.189,4.528768459,Macro
WELL_2,3852.800049,0.238,123.596,5.925651492,Macro
WELL_2,3853.25,0.169,8.913,1.697148889,Meso
WELL_2,3853.800049,0.155,1.343,0.600982891,Meso
WELL_2,3854,0.089,0.331,0.425976749,Micro
WELL_2,3854.199951,0.039,0.004,0.06476367,Nano
WELL_2,3854.399902,0.037,0.003,0.057229639,Nano
WELL_2,3854.600098,0.032,0.002,0.051115905,Nano
WELL_2,3855,0.188,8.798,1.536120855,Meso
WELL_2,3855.25,0.201,12.844,1.811149836,Meso
WELL_2,3855.5,0.084,0.045,0.138519736,Micro
WELL_2,3855.75,0.031,0.002,0.052537467,Nano
WELL_2,3856,0.033,0.002,0.049774808,Nano
WELL_2,3856.199951,0.082,0.128,0.26151963,Micro
WELL_2,3856.399902,0.175,8.28,1.576946516,Meso
WELL_2,3856.75,0.2,16.966,2.14241109,Macro
